WELL,DEPT,GR,RHOB,NPHI,RT,VP,E_STAT,NU_STAT,UCS,IS_CORE,FACIES,VSH_TRUE,PHI_TRUE,PP_MPA,SV_MPA,SIG_EFF_MPA,E_DYN,NU_DYN,IS_HC
AGB-02,1000.0,60.32,2.1314,0.3428,0.355,2040.9,3.7742,0.2743,2.65,0,1,0.3733,0.3291,9.917,24.559,14.642,6.3221,0.3142,0
AGB-02,1001.0,59.5,2.1012,0.3762,0.374,2036.2,3.6056,0.3002,2.34,0,1,0.3569,0.3408,9.927,24.584,14.657,6.0062,0.324,0
AGB-02,1002.0,38.54,2.0955,0.3486,0.366,2487.0,5.326,0.2799,2.64,0,1,0.218,0.3314,9.937,24.608,14.672,9.4384,0.3069,0
AGB-02,1003.0,53.48,2.1191,0.355,0.418,2176.8,4.5101,0.2485,2.94,0,1,0.2889,0.3318,9.947,24.633,14.686,7.7484,0.2856,0
AGB-02,1004.0,51.71,2.0887,0.3442,0.404,2414.0,4.7346,0.296,2.59,0,1,0.2639,0.3364,9.956,24.657,14.701,8.2005,0.3305,0
AGB-02,1005.0,34.15,2.1419,0.3183,0.721,2779.4,6.566,0.2901,3.43,0,1,0.159,0.3147,9.966,24.682,14.716,12.2843,0.3002,0
AGB-02,1006.0,40.91,2.1777,0.3151,0.308,2536.1,6.3658,0.2048,3.42,0,1,0.1906,0.3048,9.976,24.706,14.73,11.7953,0.2442,0
AGB-02,1007.0,43.64,2.1352,0.3242,0.356,2496.1,5.3819,0.2965,4.09,0,1,0.272,0.3123,9.986,24.731,14.745,9.5547,0.3115,0
AGB-02,1008.0,50.2,2.125,0.3228,0.638,2393.4,4.6972,0.2979,3.06,0,1,0.3159,0.3205,9.996,24.756,14.759,8.1214,0.3331,0
AGB-02,1009.0,36.15,2.1873,0.2984,0.58,2858.6,7.4467,0.2134,3.77,0,1,0.1227,0.2964,10.006,24.78,14.774,14.5845,0.2608,0
AGB-02,1010.0,41.39,2.1383,0.3476,0.442,2623.3,5.7174,0.2968,2.45,0,1,0.204,0.3286,10.016,24.805,14.789,10.2869,0.3199,0
AGB-02,1011.0,46.01,2.1117,0.354,0.3,2523.9,5.0426,0.3089,2.14,0,1,0.2098,0.3493,10.026,24.829,14.803,8.8282,0.3374,0
AGB-02,1012.0,52.03,2.0869,0.3445,0.376,2327.2,4.3965,0.2952,2.18,0,1,0.2934,0.3374,10.036,24.854,14.818,7.5145,0.3341,0
AGB-02,1013.0,52.07,2.1107,0.3544,0.381,2274.8,4.5675,0.285,2.92,0,1,0.2979,0.329,10.046,24.878,14.833,7.8534,0.3111,0
AGB-02,1014.0,52.25,2.1099,0.3594,0.3,2199.6,4.0346,0.2882,2.52,0,1,0.3162,0.3429,10.056,24.903,14.847,6.8073,0.3332,0
AGB-02,1015.0,49.82,2.095,0.3659,0.479,2160.8,4.0243,0.3066,2.41,0,1,0.2918,0.3507,10.066,24.927,14.862,6.7862,0.3222,0
AGB-02,1016.0,35.3,2.0722,0.3649,0.343,2419.4,4.8018,0.2984,1.67,0,1,0.1901,0.3614,10.075,24.952,14.877,8.3222,0.3254,0
AGB-02,1017.0,48.42,2.1471,0.3309,0.367,2452.7,5.6945,0.2298,2.66,0,1,0.2293,0.3154,10.085,24.977,14.891,10.2206,0.275,0
AGB-02,1018.0,42.69,2.1845,0.3022,0.762,2556.1,6.3367,0.2057,4.35,0,1,0.2239,0.2964,10.095,25.001,14.906,11.6963,0.2587,0
AGB-02,1019.0,45.92,2.1103,0.3439,0.645,2519.1,4.9573,0.3148,3.2,0,1,0.2638,0.3322,10.105,25.026,14.921,8.6362,0.3418,0
AGB-02,1020.0,52.67,2.1168,0.3253,0.3,2261.1,4.5895,0.2642,2.4,0,1,0.2765,0.3368,10.115,25.05,14.935,7.8855,0.3067,0
AGB-02,1021.0,48.95,2.0856,0.3638,0.346,2253.8,4.1585,0.325,2.21,0,1,0.3073,0.3409,10.125,25.075,14.95,7.0359,0.3343,0
AGB-02,1022.0,49.93,2.1266,0.3341,0.474,2303.7,4.8979,0.2595,2.78,0,1,0.2687,0.3286,10.135,25.099,14.964,8.5078,0.2946,0
AGB-02,1023.0,41.57,2.0938,0.3568,0.3,2418.2,5.0869,0.2766,2.71,0,1,0.2385,0.333,10.145,25.124,14.979,8.8977,0.3076,0
AGB-02,1024.0,51.09,2.1105,0.3358,0.342,2265.1,4.4298,0.2983,2.49,0,1,0.3046,0.3328,10.155,25.149,14.994,7.5611,0.3202,0
AGB-02,1025.0,48.96,2.1272,0.3113,0.3,2410.5,5.5435,0.23,2.72,0,1,0.25,0.3112,10.165,25.173,15.008,9.8683,0.2711,0
AGB-02,1026.0,51.79,2.0798,0.3627,0.395,2153.1,3.8409,0.3044,2.22,0,1,0.2992,0.3553,10.175,25.198,15.023,6.4226,0.3335,0
AGB-02,1027.0,53.8,2.1271,0.3194,0.435,2324.3,5.0337,0.2474,2.82,0,1,0.2768,0.3206,10.185,25.222,15.038,8.7788,0.2896,0
AGB-02,1028.0,41.99,2.1345,0.3161,0.726,2598.3,5.9195,0.2774,3.53,0,1,0.229,0.3108,10.194,25.247,15.052,10.6976,0.3003,0
AGB-02,1029.0,39.08,2.1101,0.323,0.47,2529.9,5.7571,0.2611,2.48,0,1,0.1837,0.3306,10.204,25.271,15.067,10.3304,0.2891,0
AGB-02,1030.0,40.61,2.1325,0.3513,0.333,2408.7,5.3046,0.2626,2.97,0,1,0.211,0.3378,10.214,25.296,15.082,9.343,0.294,0
AGB-02,1031.0,48.31,2.0884,0.3285,0.338,2243.6,4.4469,0.2736,2.67,0,1,0.3026,0.3309,10.224,25.32,15.096,7.5844,0.31,0
AGB-02,1032.0,45.08,2.1653,0.3147,0.826,2513.9,6.181,0.2411,3.62,0,1,0.2233,0.3011,10.234,25.345,15.111,11.2894,0.2552,0
AGB-02,1033.0,47.23,2.1751,0.3061,0.32,2520.1,5.5525,0.2712,3.46,1,1,0.2761,0.3097,10.244,25.37,15.126,9.8717,0.3131,0
AGB-02,1034.0,43.99,2.1337,0.3449,0.344,2455.6,5.0591,0.2923,2.72,0,1,0.2764,0.3247,10.254,25.394,15.14,8.8202,0.3256,0
AGB-02,1035.0,68.92,2.0929,0.3688,0.606,1837.6,2.0794,0.3875,2.27,0,2,0.5247,0.3435,10.264,25.419,15.155,3.2916,0.4003,0
AGB-02,1036.0,71.89,2.0463,0.3929,0.518,1623.6,1.3414,0.3769,1.76,0,2,0.5653,0.3625,10.274,25.443,15.169,2.0814,0.4215,0
AGB-02,1037.0,57.59,2.1317,0.3533,0.359,2010.2,3.1984,0.3078,3.16,0,2,0.4743,0.3167,10.284,25.468,15.184,5.2306,0.3557,0
AGB-02,1038.0,68.16,2.1021,0.4027,0.398,1737.6,1.7267,0.3913,2.19,0,2,0.5301,0.3584,10.294,25.492,15.199,2.7063,0.411,0
AGB-02,1039.0,69.88,2.082,0.3684,0.325,1787.9,1.8006,0.366,2.6,0,2,0.5513,0.346,10.304,25.517,15.213,2.8276,0.4114,0
AGB-02,1040.0,64.53,2.0989,0.3791,0.525,2071.7,2.7244,0.3612,2.44,0,2,0.4797,0.3342,10.313,25.541,15.228,4.3911,0.3941,0
AGB-02,1041.0,71.86,2.1152,0.3777,0.496,1739.5,1.9623,0.3811,2.5,0,2,0.5606,0.3355,10.323,25.566,15.243,3.0947,0.3952,0
AGB-02,1042.0,102.79,1.9838,0.5,0.781,1450.0,1.1025,0.3708,1.2,0,3,0.9296,0.4366,10.333,25.591,15.257,1.6994,0.416,0
AGB-02,1043.0,91.19,2.0169,0.4564,0.701,1450.0,1.1205,0.3816,1.79,0,3,0.8983,0.4006,10.343,25.615,15.272,1.7278,0.416,0
AGB-02,1044.0,94.89,1.9635,0.4865,0.541,1450.0,1.0916,0.3782,1.23,0,3,0.8546,0.424,10.353,25.64,15.287,1.6821,0.416,0
AGB-02,1045.0,104.09,2.0399,0.4692,0.811,1450.0,1.1329,0.3874,1.98,0,3,0.8714,0.3845,10.363,25.664,15.301,1.7475,0.416,0
AGB-02,1046.0,92.82,1.986,0.4805,0.708,1450.0,1.1038,0.3686,1.52,0,3,0.8532,0.4114,10.373,25.689,15.316,1.7013,0.416,0
AGB-02,1047.0,96.72,2.007,0.5,1.024,1450.0,1.1152,0.3751,1.57,0,3,0.9474,0.4069,10.383,25.713,15.33,1.7194,0.416,0
AGB-02,1048.0,98.1,1.9935,0.4783,0.949,1450.0,1.1079,0.3825,1.51,0,3,0.8775,0.405,10.393,25.738,15.345,1.7078,0.416,0
AGB-02,1049.0,92.56,2.0543,0.4427,0.915,1450.0,1.1407,0.3864,1.69,0,3,0.8155,0.3784,10.403,25.763,15.36,1.7598,0.416,0
AGB-02,1050.0,94.08,1.9898,0.481,0.546,1450.0,1.1058,0.3778,1.61,0,3,0.8653,0.4064,10.413,25.787,15.374,1.7046,0.416,0
AGB-02,1051.0,93.31,1.9921,0.4842,0.738,1450.0,1.1071,0.3892,1.24,0,3,0.8605,0.4143,10.423,25.812,15.389,1.7066,0.416,0
AGB-02,1052.0,96.45,2.0309,0.4843,0.614,1450.0,1.128,0.3873,1.55,0,3,0.8996,0.4043,10.432,25.836,15.404,1.7398,0.416,0
AGB-02,1053.0,92.12,2.0131,0.4728,0.569,1450.0,1.1183,0.3815,1.42,0,3,0.855,0.4086,10.442,25.861,15.418,1.7245,0.416,0
AGB-02,1054.0,100.5,2.0773,0.4386,0.915,1450.0,1.1529,0.3881,2.06,0,3,0.8555,0.3703,10.452,25.885,15.433,1.7795,0.416,0
AGB-02,1055.0,87.77,2.0394,0.4015,0.446,1450.0,1.1325,0.388,1.72,0,3,0.7932,0.3668,10.462,25.91,15.448,1.7471,0.416,0
AGB-02,1056.0,96.61,2.0571,0.4353,0.635,1450.0,1.142,0.4026,1.87,0,3,0.8223,0.3585,10.472,25.934,15.462,1.7622,0.416,0
AGB-02,1057.0,96.57,1.9805,0.4692,0.785,1450.0,1.1006,0.3886,1.23,0,3,0.8939,0.4155,10.482,25.959,15.477,1.6967,0.416,0
AGB-02,1058.0,93.66,2.0858,0.4135,0.61,1450.0,1.1574,0.3584,1.92,0,3,0.8399,0.3669,10.492,25.984,15.492,1.7868,0.416,0
AGB-02,1059.0,89.51,2.0634,0.4186,0.472,1450.0,1.1453,0.3859,2.0,0,3,0.788,0.3684,10.502,26.008,15.506,1.7676,0.416,0
AGB-02,1060.0,103.05,1.9947,0.4641,1.033,1450.0,1.1082,0.3855,1.38,0,3,0.9562,0.397,10.512,26.033,15.521,1.7088,0.416,0
AGB-02,1061.0,93.96,2.0653,0.4579,0.832,1450.0,1.1462,0.3676,1.6,0,3,0.8538,0.3852,10.522,26.057,15.535,1.7692,0.416,0
AGB-02,1062.0,100.46,2.0245,0.4775,0.85,1450.0,1.1242,0.3904,1.91,0,3,0.9145,0.3919,10.532,26.082,15.55,1.7343,0.416,0
AGB-02,1063.0,91.01,2.007,0.4627,0.646,1450.0,1.1147,0.3769,1.82,0,3,0.8516,0.4068,10.542,26.106,15.565,1.7193,0.416,0
AGB-02,1064.0,97.31,2.0003,0.4746,1.357,1450.0,1.1111,0.3932,1.53,0,3,0.9149,0.4126,10.551,26.131,15.579,1.7136,0.416,0
AGB-02,1065.0,87.72,2.032,0.442,0.838,1450.0,1.1282,0.3689,1.73,0,3,0.7869,0.3883,10.561,26.155,15.594,1.7408,0.416,0
AGB-02,1066.0,90.66,2.0437,0.4283,0.548,1450.0,1.1345,0.3783,1.75,0,3,0.826,0.3811,10.571,26.18,15.609,1.7508,0.416,0
AGB-02,1067.0,99.1,1.9626,0.4886,0.592,1450.0,1.0907,0.3852,1.61,0,3,0.938,0.4152,10.581,26.205,15.623,1.6813,0.416,0
AGB-02,1068.0,91.26,2.0728,0.4596,0.894,1450.0,1.1501,0.3764,1.83,0,3,0.8833,0.3765,10.591,26.229,15.638,1.7757,0.416,0
AGB-02,1069.0,99.07,1.9361,0.5,1.084,1450.0,1.0763,0.3839,1.19,0,3,0.9229,0.426,10.601,26.254,15.653,1.6586,0.416,0
AGB-02,1070.0,96.01,1.9734,0.5,0.456,1450.0,1.0965,0.3667,1.32,0,3,0.8511,0.4228,10.611,26.278,15.667,1.6905,0.416,0
AGB-02,1071.0,96.07,2.0512,0.4308,0.786,1450.0,1.1385,0.381,1.82,0,3,0.8649,0.3705,10.621,26.303,15.682,1.7572,0.416,0
AGB-02,1072.0,94.81,2.0025,0.4991,0.482,1450.0,1.1122,0.3624,1.58,0,3,0.8646,0.4057,10.631,26.327,15.697,1.7154,0.416,0
AGB-02,1073.0,100.94,2.0321,0.4772,0.528,1450.0,1.1282,0.388,1.69,0,3,0.8932,0.393,10.641,26.352,15.711,1.7408,0.416,0
AGB-02,1074.0,97.4,2.0592,0.4664,0.58,1450.0,1.1429,0.3818,1.7,0,3,0.8721,0.3801,10.651,26.376,15.726,1.7641,0.416,0
AGB-02,1075.0,92.59,2.024,0.4528,0.828,1450.0,1.124,0.3877,1.54,0,3,0.8473,0.383,10.661,26.401,15.74,1.7339,0.416,0
AGB-02,1076.0,90.03,2.003,0.4754,0.693,1450.0,1.1127,0.3803,1.93,0,3,0.8566,0.3987,10.67,26.426,15.755,1.7159,0.416,0
