WELL,DEPT,GR,RHOB,NPHI,RT,VP,E_STAT,NU_STAT,UCS,IS_CORE,FACIES,VSH_TRUE,PHI_TRUE,PP_MPA,SV_MPA,SIG_EFF_MPA,E_DYN,NU_DYN,IS_HC
AGB-01,1000.0,70.22,2.046,0.4217,0.437,1515.8,1.368,0.3969,1.72,0,2,0.5401,0.3745,10.339,22.727,12.389,1.908,0.4164,0
AGB-01,1001.0,70.53,2.0977,0.3805,0.613,1869.7,2.4799,0.3541,2.14,0,2,0.5201,0.3343,10.349,22.75,12.401,3.5437,0.3953,0
AGB-01,1002.0,68.69,2.0818,0.3893,0.499,1660.6,1.7866,0.3592,2.02,0,2,0.5419,0.3548,10.359,22.773,12.414,2.5141,0.4079,0
AGB-01,1003.0,68.79,2.0214,0.4143,0.356,1522.8,1.3064,0.3891,1.3,0,2,0.4941,0.3948,10.37,22.796,12.426,1.8197,0.4209,0
AGB-01,1004.0,67.49,2.0229,0.4192,0.401,1485.6,1.2497,0.3884,1.35,0,2,0.507,0.3957,10.38,22.818,12.438,1.7386,0.4206,0
AGB-01,1005.0,72.03,2.0716,0.4109,0.503,1450.0,1.2751,0.3807,1.9,0,2,0.5964,0.3585,10.39,22.841,12.451,1.7748,0.416,0
AGB-01,1006.0,73.92,2.0458,0.4331,0.476,1450.0,1.2596,0.3733,1.83,0,2,0.5766,0.384,10.401,22.864,12.463,1.7526,0.416,0
AGB-01,1007.0,62.55,2.0069,0.4262,0.557,1579.7,1.367,0.407,1.62,0,2,0.5033,0.3879,10.411,22.886,12.476,1.9061,0.4228,0
AGB-01,1008.0,76.69,2.0389,0.4302,0.939,1450.0,1.2557,0.3884,1.58,0,2,0.6146,0.3879,10.421,22.909,12.488,1.7467,0.416,0
AGB-01,1009.0,71.53,2.037,0.4011,1.079,1553.6,1.2653,0.393,1.41,0,2,0.5337,0.3863,10.432,22.932,12.5,1.7603,0.4284,0
AGB-01,1010.0,71.06,2.0592,0.4088,0.548,1671.2,1.5001,0.3966,1.6,0,2,0.5495,0.3655,10.442,22.955,12.513,2.097,0.4267,0
AGB-01,1011.0,74.12,2.0686,0.4256,0.3,1450.0,1.2739,0.3855,1.51,0,2,0.5787,0.3772,10.452,22.977,12.525,1.7721,0.416,0
AGB-01,1012.0,63.57,1.9905,0.4159,0.308,1450.0,1.2271,0.3738,1.43,0,2,0.5123,0.3915,10.463,23.0,12.538,1.7052,0.416,0
